connector,dis,geoAddr,geoStreet,geoCity,geoPostalCode,geoCountry,tz,ean,dapId,sleutel,meter_status,entity,klantnummer,type
wattflow_api,Argonautenweg 57 BIJ,Argonautenweg 57 BIJ,Argonautenweg 57,Rotterdam,3054RP,Netherlands,Europe/Amsterdam,871689260011945210,80506,50594511,active,B&T,50009511,
wattflow_api,Hazelaarweg 100 Bij,Hazelaarweg 100 Bij,Hazelaarweg 100,Rotterdam,3053PM,Netherlands,Europe/Amsterdam,871689260011746329,76866,56621452,inactive,B&T,50009511,
wattflow_api,Koningin Wilhelminaplein 1,Koningin Wilhelminaplein 1,Koningin Wilhelminaplein 1,Amsterdam,1062HG,Netherlands,Europe/Amsterdam,871685920004048543,85768,59868668,inactive,B&T Speciale Projecten,124325,
wattflow_api,Orionstraat 235 BIJ,Orionstraat 235 BIJ,Orionstraat 235,'s-Gravenhage,2516AS,Netherlands,Europe/Amsterdam,871689260012433310,87649,63398185,active,B&T Speciale Projecten,124325,
wattflow_api,Wegastraat 67 BIJ,Wegastraat 67 BIJ,Wegastraat 67,'s-Gravenhage,2516AN,Netherlands,Europe/Amsterdam,871689260012411691,97293,63086626,active,B&T Speciale Projecten,5013675,
wattflow_api,Plantijnweg 32,Plantijnweg 32,Plantijnweg 32,Culemborg,4104BB,Netherlands,Europe/Amsterdam,871687120000023324,54675,54077063,active,Concernhuisvesting,50009130,Kantoor
wattflow_api,Plantijnweg 32,Plantijnweg 32,Plantijnweg 32,Culemborg,4104BB,Netherlands,Europe/Amsterdam,871687120000023324,54675,54076993,active,Concernhuisvesting,50009130,Kantoor
wattflow_api,Plantijnweg 32,Plantijnweg 32,Plantijnweg 32,Culemborg,4104BB,Netherlands,Europe/Amsterdam,871687120000023324,54675,54076990,active,Concernhuisvesting,50009130,Kantoor
wattflow_api,De Serpeling 120,De Serpeling 120,De Serpeling 120,Lelystad,8219PZ,Netherlands,Europe/Amsterdam,871687110000967926,83480,50624190,inactive,BES,126892,Kantoor
wattflow_api,De Serpeling 120,De Serpeling 120,De Serpeling 120,Lelystad,8219PZ,Netherlands,Europe/Amsterdam,871687120000061975,96737,73017642,active,BES,126892,Kantoor
